document_id,passage_count,original_mean,shuffled_mean,original_actor_overlap_proportion,shuffled_actor_overlap_proportion
001-100469,88,0.5833924277417961,0.4594887420128303,0.8529411764705882,0.4249567099567099
001-100543,44,0.5702211253864821,0.43468006114627045,0.7777777777777778,0.7404761904761905
001-100897,45,0.5216216248544779,0.3848257912661542,0.7727272727272727,0.699137529137529
001-101152,94,0.5960379994364196,0.4255095638274666,0.9302325581395349,0.6277962693294501
001-101647,30,0.4719790258798106,0.34255890773673514,0.9230769230769231,0.7780952380952381
001-102254,54,0.5568112321900871,0.38595975345738653,0.9473684210526315,0.64
001-102617,144,0.56842709796412,0.4340263662950975,0.8676470588235294,0.6015212609970674
001-102711,53,0.568277679097194,0.4367463084188505,0.8421052631578947,0.46904761904761905
001-102787,89,0.5969336059960452,0.5017553028396584,0.8205128205128205,0.6715406162464986
001-102795,69,0.5964533309726154,0.4816316247041173,0.6521739130434783,0.7142857142857143
001-102799,85,0.5905909243793714,0.4496554768777319,0.8409090909090909,0.7361693861693862
001-103027,109,0.5706064106413612,0.4000069010036963,0.9565217391304348,0.640053163211058
001-103155,66,0.5985206428628701,0.46420761754879586,0.8,0.7001594202898551
001-103273,124,0.49469209426059957,0.3538892182150507,0.8939393939393939,0.49500409500409503
001-105217,75,0.5680220602331935,0.38996271456818327,0.9696969696969697,0.881139122315593
001-105291,65,0.5591224548406899,0.419611147698015,0.9655172413793104,0.821118881118881
001-105415,136,0.6026792662011252,0.4970163458364981,0.9215686274509803,0.3605741626794258
001-106257,76,0.5841102004051208,0.44434729087352753,0.8048780487804879,0.7015659702616224
001-107713,116,0.5283506735511448,0.41143470884989136,0.95,0.6008361378949614
001-108686,47,0.5678279050018477,0.43210372302843175,0.8,0.6524747474747474
001-108957,191,0.5626890553455604,0.3814265763014555,0.8695652173913043,0.5565476190476191
001-109029,154,0.5444942598833757,0.3664100543901726,0.9428571428571428,0.3713804713804714
001-109034,141,0.5392418718763761,0.3600890174752567,0.9206349206349206,0.5806923517713284
001-109191,55,0.5887903725659406,0.42640357641158283,0.88,0.5174242424242425
001-109565,50,0.5394321765218463,0.393275903028493,0.8235294117647058,0.6714285714285715
001-110144,106,0.6044684446993328,0.3887405921660718,0.8648648648648649,0.7104645354645355
001-110452,90,0.5535938380641884,0.3687121487944812,0.8787878787878788,0.5396825396825398
001-110812,48,0.5362965378989565,0.44516381370894453,0.7916666666666666,0.7050527903469079
001-111688,71,0.5582290432282857,0.4390869556048086,0.8,0.5624242424242424
001-111890,49,0.5658763765046994,0.4372790228885909,0.9,0.5723748473748473
